Class,GcA-0,GcA-1,GcA-2,GcA-3,GcA4,GcA5,GcA6,GcA7,GcA8,GcA9,GcA10,GcA11,GcA12,GcA13,GcA14,GcB-0,GcB-1,GcB-2,GcB-3,GcB4,GcB5,GcB6,GcB7,GcB8,GcB9,GcB10,GcB11,GcB12,GcB13,GcB14,GcC-0,GcC-1,GcC-2,GcC-3,GcC5,GcC6,GcC7,GcC8,GcC9,GcC10,GcC11,GcL-0,GcL-1,GcL-2,GcL-3,GcL4,GcL5,GcL6,GcL7,GcL8,GcL9,GcL10,GcL11,GcL12,GcL13
Chitinivibrionia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000154413325870023,0,0.000380310768227752,0,0,7.52520945166307e-05,0,0,0,0,0,0,0.000262881177707676,0.00248360185951729,0.00384842455119935,0.00279268317009435,0.000733874082657397,0,0,0,0,0,0,0,0,0,0.000158593502197653,0,3.45458942204719e-05,0,0,0,0,0,0,0,0,0,0,0.000135996269816599,0.000171031127665235,0
Chlamydiia,0,0,0,0,0,0,0,0,0,0,0,0.000633041017334153,0.000261328594574818,5.79049972012585e-05,0,5.43301097468217e-05,0.000100389007403689,0,0.000100336126022174,0,0,0,0,0,0,0,0.000509456791695854,0.000502919117486279,7.97909477169815e-05,0.000289687137891078,0,0.00437047655676375,0.0013316465809974,0.000981209831722514,0,0,0,4.46727719454992e-05,0.000778907193207929,0.00126874801758122,0.0019967133744456,0.000483642519086607,0,0.000246586320623863,0,0,0,0,0,0,0,0.000705052878965922,0.00283649362760336,0.00203337007335335,0.000323779275042785
Chloroflexia,0.00628195763330898,0.0183386367442639,0.0183811129848229,0.0201580485126576,0.00235331032318795,0.00940032414910859,0.0214471159273056,0.00835571471202626,0.0030331523552428,0.000446578095344423,0.000764693030369237,0.00197359846580648,0.00135890869178906,0.00148622826149897,0.00230428718695046,0.00948060415082039,0.00742878654787301,0.00849095459873903,0.0085787387748959,0.00445160280070689,0.00460007845095033,0.00725412694722158,0.0182189998140918,0.00895067606170253,0.00137268359643102,0.00168995042812078,0.00174064403829417,0.00177114993549516,0.000718118529452834,0.00115874855156431,0.000659094741037078,0,0,7.35907373791885e-05,0,0,0,0,0,0,0,0,0.00043369836278868,0.000246586320623863,0.000422654268808115,8.41485221415799e-05,0.000481595042781693,0,0,0,0,0.000188014101057579,9.71401927261424e-05,0.000209038044924176,4.62541821489693e-05
Chloroflexota Phylum,0.0607116769278932,0.134650812259253,0.122163334136353,0.122889581740102,0.0813068716661437,0.161565177124334,0.158708657862061,0.074903014025664,0.0242045557948376,0.0100480071452495,0.0142014419925716,0.0136848572864883,0.0127179916026412,0.0114072844486479,0.00954055747579488,0.00241768988373357,0.00346342075542728,0.00529100529100529,0.00321075603270958,0.00570431514663445,0.00313803801305139,0.00395256916996047,0.00395054842907604,0.00742715673205104,0.00490244141582508,0.00289169295478444,0.00163450720669087,0.000459187020313559,0.000857752687957551,0.00156431054461182,0.00203859536181236,0.00192300968497605,0.00173114055529662,0.00304175047833979,0.00952418051146213,0.00538392217575155,0.00105180589724391,0.000178691087781997,0.000876270592358921,0.000860936154787258,0.00136059229940099,0.00191729712923619,0.00387617911742383,0.00231174675584872,0.00289184499710815,0.000757336699274219,0.00199059284349766,0.00373315233200815,0.00516698764620226,0.000835305582625644,0,0.000705052878965922,0.00102968604289711,0.000114020751776823,0.000662976610801893
Chthonomonadetes,0.00198267765835333,0.00114442025344722,0.000770898578655746,0.000941231837166892,0.000235331032318795,0,0,0,0.0055203372865419,0.00975028841501991,0.00549850702789309,0.00236459438827757,0.0010104705656893,0.00106159161535641,0.00218300891395307,0.0020102140606324,0.00238423892583762,0.0023761999809904,0.00223247880399338,0.000134219179920811,0,0,0.00195203569436698,0.0102837554751476,0.00666732032552211,0.00206549496770317,0.000785412553864442,0.000852775894868038,0.000658275318665097,0.000811123986095017,0.00243711776336966,0.00017481906227055,0,0,0.000681689811658844,0.000415925318298403,0.00106963311584127,0.000893455438909984,0.000350508236943568,0.000407811862793964,0.000194370328485855,0.000863647355511797,0.0021684918139434,0.000955521992417471,0.00131245272945678,0.000231408435889345,0.000401329202318078,0,0,0.00556870388417096,0.00253989552882542,0.00103407755581669,0.00050512900217594,0.000228041503553647,0.00044712376077337
CLD3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.74641943454398e-05,0,0,0.000505816894284269,0,0,0,0,0,0,0,0,0,0,0,0.000189743033720048,0.000277409610701846,0.000155714730613516,0,0,0,0,0,0,0.000799059929494712,0.00503186198321417,0.00330660180152788,0.000832575278681447
Clostridia,0.00388187415214442,0.00390777647518562,0.00293905083112503,0.00590230797890072,0,0,0,0,0,0,0.00659092564270628,0.020815878158223,0.0457150821442882,0.0759520546623174,0.0869969478301296,0.00241768988373357,0.000476847785167524,0.000792066660330133,0.000275924346560979,0.000111849316600676,0,0,0,0,0,0.00187772269791197,0.011759960941646,0.023265475695887,0.0436456484011889,0.0475473155658555,7.66389233764044e-05,0,0,7.35907373791885e-05,0,0,0,0,0,9.06248583986587e-05,0.000106020179174103,0,0.000298167624417218,0,0,8.41485221415799e-05,0,0,0,0,0,0,0.00050512900217594,0.00321158450838053,0.00568926440432322
Coriobacteriia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000144478512834508,0,0,0,0,0,0,0,0
CPR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000226562145996647,5.30100895870514e-05,0,0,0,0,0,0,0,0,0,0,4.70035252643948e-05,0.000135996269816599,0,0
CSP1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000380310768227752,0.000351361525912913,0.000697018661090517,0.00035117644107761,0.000178958906561081,0.000713190457511679,0.000604510578935131,0,0,0,0,0.000212273663206606,0.000262392583036319,0,0.000193124758594052,0,0.00048949337435754,0,0.000588725899033508,0.00282414350544378,0.000531460128936849,0.000231753841765608,0,0,0.000181249716797317,0.000159030268761154,0.000449096624866135,0,0,0,0,0,0,0,0,0,0,0,0,0
