Phylum,4.5_0,4.5_0.1,4.5_0.2,4.5_0.3,4.5_10,4.5_11,4.5_12,4.5_13,4.5_14,4.5_4,4.5_5,4.5_6,4.5_7,4.5_8,4.5_9,4.5_M11,4.5_M5,7.5_0,7.5_0.1,7.5_0.2,7.5_0.3,7.5_10,7.5_11,7.5_12,7.5_13,7.5_14,7.5_4,7.5_5,7.5_6,7.5_7,7.5_8,7.5_9,7.5_M14,7.5_M4,CM_0,CM_0.1,CM_0.2,CM_0.3,CM_10,CM_11,CM_5,CM_6,CM_7,CM_8,CM_9,CM_M11,CM_M5,LD_0,LD_0.1,LD_0.2,LD_0.3,LD_10,LD_11,LD_12,LD_13,LD_4,LD_5,LD_6,LD_7,LD_8,LD_9,LD_M13,LD_M4
Bacillota_C,0,0,0,6,11,36,19,19,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0
Bacillota_D,0,0,0,9,0,24,37,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillota_E,33,55,74,100,70,46,29,21,44,15,12,0,0,23,86,0,0,0,8,0,21,21,0,0,15,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillota_F,127,192,212,433,164,1241,2120,1586,666,0,0,0,0,8,34,0,0,40,56,39,56,48,389,700,706,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillota_G,36,32,107,166,90,326,585,507,200,33,0,7,0,32,46,0,0,20,8,3,13,35,151,259,130,103,33,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,15,0,0,0,0,0,0,0,0
Bacteria Kingdom,1169,2067,2776,3803,797,1348,1272,938,1381,1015,380,687,872,1139,655,0,0,901,1103,903,1110,1123,1383,949,694,718,2252,742,351,494,278,809,0,0,1081,224,188,304,407,555,835,738,310,329,508,0,0,717,357,243,371,688,759,677,551,474,818,238,118,220,208,0,0
Bacteroidota,751,402,413,534,300,5643,10440,10710,6290,8,0,2,0,0,21,64422984,0,1289,877,772,808,1789,9943,14750,12425,6781,14,7,13,70,47,280,205946965,0,1123,480,424,538,2470,5725,43,136,150,139,1115,217061025,0,1841,380,265,376,1259,4682,7135,8348,10,3,0,93,119,249,353000025,0
Bdellovibrionota,0,0,0,0,0,101,12,16,15,0,0,0,0,0,10,0,0,52,0,0,0,31,226,218,259,224,0,0,0,0,0,6,24027360,0,89,0,0,3,140,257,0,11,21,18,80,0,0,77,0,0,3,194,512,408,199,0,0,0,0,0,16,0,0
CAKKQC01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,14,0,0,7,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Campylobacterota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
