Family,GcA-0,GcA-1,GcA-2,GcA-3,GcA4,GcA5,GcA6,GcA7,GcA8,GcA9,GcA10,GcA11,GcA12,GcA13,GcA14,GcB-0,GcB-1,GcB-2,GcB-3,GcB4,GcB5,GcB6,GcB7,GcB8,GcB9,GcB10,GcB11,GcB12,GcB13,GcB14,GcC-0,GcC-1,GcC-2,GcC-3,GcC5,GcC6,GcC7,GcC8,GcC9,GcC10,GcC11,GcL-0,GcL-1,GcL-2,GcL-3,GcL4,GcL5,GcL6,GcL7,GcL8,GcL9,GcL10,GcL11,GcL12,GcL13
UBA10030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000135825274367054,0.000250972518509223,0.000348509330545259,0.000225756283549892,0,0,0,0,0,0.000441219727424257,0.000563316809373592,0.000297183128489248,0,0,0.000154499806875241,0.000291227908830337,0.00076920387399042,0.000632532125973767,0.00110386106068783,3.89537035233625e-05,0,0.00032088993475238,0.000714764351127987,0.00173306850488764,0.0018578095971725,0.00100719170215398,0.00105364977372439,0.000352379919765803,0.00021576303054588,0,0,0,0,0,0,0,0.00143360752056404,0.00163195523779919,0.00140625593858082,0.000354615396475431
UBA10107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000349856777381759,0.000319163790867926,0.000328312089609888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBA1018,0,0,0,0,0,0,0,0,0,0.000372148412787019,0,0.00111713120706027,0,0.000231619988805034,0.000121278272997393,0.00097794197544279,0,0,0,0,0,0,0,0,0.000294146484949505,0,0.000806639920185103,0.00019679443727724,0,0.000115874855156431,0.000766389233764044,0,0,0,0,0,0,0,0.000467344315924758,0.00072499886718927,0.000777481313943421,0.000293640100874011,0,0,0,0,0,0,0,0,0,0.000117508813160987,0.000388560770904569,5.70103758884117e-05,0.00044712376077337
UBA1018 Order,0,0,0,0,0,0,0,0,0,0,0,0.000204807387961049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.65623792970259e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBA10185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.82841156356854e-05,0,0
UBA10199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000176700298623505,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBA1020,0.000104351455702807,0,0,0,0,0,0,0,0,0,0.000473381399752385,0.000521327896628126,0.000104531437829927,0.00013511166013627,0.000202130454995654,0,0,0,0,0,0,0,0,0,0,0,0.00036086522745123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBA10212,0.00219138056975895,0,0.000313177547578897,0.000392179932152872,0,0,0,0,0,0.00104201555580365,0.0127812977933144,0.0144668491314305,0.0034495374483876,0.00119670327549268,0.00117235663897479,0.00135825274367054,0.00135525159994981,0.0017742293191395,0.00142978979581598,0,0,0,0,0,0.000931463869006765,0.00758599969956437,0.0155384321467236,0.00319244309360855,0.00119686421575472,0.000637311703360371,0.000904339295841572,0,0,0,0,0,0,0,0.000116836078981189,0,0,0,0.00124688279301746,0.00117128502296335,0.00109000311429461,0,0,0,0,0,0,0.0063924794359577,0.00419645632576935,0.0011592109763977,0.000539632125071309
UBA10216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.43301097468217e-05,0,0,0,0,0,0,0,0,0,0,0,0.000262392583036319,0.000219425106221699,7.72499034376207e-05,0,0,0,0,0,0,0,0,0,0,0,0,5.42122953485851e-05,0,0.000177959692129733,0,0,0,0,0,0,4.70035252643948e-05,3.88560770904569e-05,0,0
UBA10324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00297378260774495,0.00197482595599529,0.000424874468906914,0,0.00013985524981644,0.00013316465809974,0,0,0,0,0,0,0.000113281072998323,0.000300390507659958,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000138762546446908
UBA10428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000139634158504718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000330276655268884,0,0.000215852850028523
