Order,GcA-0,GcA-1,GcA-2,GcA-3,GcA4,GcA5,GcA6,GcA7,GcA8,GcA9,GcA10,GcA11,GcA12,GcA13,GcA14,GcB-0,GcB-1,GcB-2,GcB-3,GcB4,GcB5,GcB6,GcB7,GcB8,GcB9,GcB10,GcB11,GcB12,GcB13,GcB14,GcC-0,GcC-1,GcC-2,GcC-3,GcC5,GcC6,GcC7,GcC8,GcC9,GcC10,GcC11,GcL-0,GcL-1,GcL-2,GcL-3,GcL4,GcL5,GcL6,GcL7,GcL8,GcL9,GcL10,GcL11,GcL12,GcL13
Acidothermales,0.00231660231660232,0.00114442025344722,0.00137316309323055,0.00109810381002804,0.00103937872607468,0.00338041213243806,0.00491026075177785,0,0,0,0.000801106984196344,0.000260663948314063,0.000313594313489782,0.000463239977610068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomycetales,0.0607325472190337,0.0362306704627924,0.0409298964105035,0.0360021177716336,0.0813460935048635,0.068302847881454,0.059543966587651,0.0706754202725555,0.0603597318693318,0.0336422165159466,0.0243973490641614,0.0177251484853563,0.0137633059809404,0.0120635410835955,0.0144725405776888,0.0213245680756275,0.0134019324883925,0.0148274878813801,0.0135453770129935,0.037245822428025,0.0264950254965589,0.0289235061613578,0.0240751068971928,0.0148543134641021,0.00681439356799686,0.00540784136998648,0.00358742490819164,0.00317057704502219,0.00155592348048114,0.00247199691000386,0,0,0,0,0.000350583331710262,0,5.34816557920633e-05,0,0.000272617517622775,0,0.000229710388210556,0,0,0,0,0.00128326496265909,0.00067423305989437,0,0,0,0,9.40070505287897e-05,9.71401927261424e-05,0,0.000215852850028523
Actinomycetia Class,0.00221225086089951,0.00167476134650812,0.00166225006022645,0.00127458477949683,0.00758942579228114,0.00926140310257004,0,0,0,0,0,0.000446852482824108,0,0,0.000444687000990439,0.000380310768227752,0,0,0,0.00259490414513567,0.000641871411760511,0,0,0,0,0,0,0,0,0,0.000735733664413482,0.00066431243662809,0,0.000392483932689006,0.000681689811658844,0,0,0,0,0,0,0.000345458942204719,0.000460804510462973,0.000493172641247727,0,0.00809929525612706,0.0018782206668486,0,0,0,0,0,0,0,0
Actinomycetota Phylum,0.000271313784827298,0,0,3.92179932152872e-05,0.000921713209915281,0.000138921046538551,0,0,0.000394309806181565,0,0,0,0.000139375250439903,0,0,0,0,0,0,0.000134219179920811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aggregatilineales,0,0,0,0,0,0,0,0,0.000212320664866996,0.00111644523836106,0,0.000111713120706027,0,0.000115809994402517,0,0.00880147777898512,0.00404065754799849,0.00326331464056015,0.00398836100938143,0.000335547949802027,0,0.000930016275284817,0.00567019892173266,0.00856979622928966,0.0263751348171389,0.0315832957788794,0.015007747988707,0.00371722825968119,0.00207456464064152,0.00314793356508304,0.00672889747244831,0,0,0,0.00015581481409345,0,0.000124790530181481,8.93455438909984e-05,0.000155781438641586,0,7.06801194494019e-05,0.000172729471102359,0.00149083812208609,0.00203433714514687,0.00171286203674868,0.00147259913747765,0.000947136917470663,0,0.0011273427591714,0.00213466982226553,0.00867398284372454,0.0072855464159812,0.00281706558905813,0.00172931473528182,0.00215852850028523
AKYH767,0,0,0,0,0,0,0,0,0,0,7.28279076542131e-05,0.000204807387961049,0.000365860032404746,0.000212318323071281,8.08521819982617e-05,0.00116809735955667,0.000225875266658301,0.000221778664892437,0,0,0,0,0,0,0,7.51089079164789e-05,0.00222887346366936,0.00719392998491243,0.00702160339909437,0.00505986867516416,0.00196195643843595,0.00475507849375896,0.00233038151674546,0.00333611342785655,0.000370060183471944,0.000415925318298403,0.000303062716155025,0.000804109895018986,0.00728278225649414,0.0240382436902442,0.0512077465410917,0.016253843230732,0.000867396725577361,0.000801405542027556,0.00162388219068381,6.31113916061849e-05,0,0,0,0,0,0.000681551116333725,0.00625582841156357,0.0272319562160313,0.0375121417228141
AKYH767-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00171139845702488,0.000351361525912913,0,0,0,0,0,0,0,0,0,0.00662293829204611,0.0152625019132793,0.0166164648620614,0.00983005021243723,0.000383194616882022,0,0,0,0,0,0,0,0,0,0,0,0.000243955329068633,0,0,0,0,0,0,0,0,0.000235017626321974,0.00223422443270127,0.0082665045038197,0.00901956551904901
Alicyclobacillales,0.000375665240530105,0,0,0.000196089966076436,5.88327580796988e-05,0,0,0,0,0.000223289047672212,0,0.00016756968105904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alphaproteobacteria Class,0.002379213190024,0.00254005470887065,0.00236087689713322,0.00333352942329941,0.00192187009727016,0.000926140310257004,0.000790156902584942,0.00208892867800657,0.000940277230125269,0.000148859365114808,0,0.000837848405295202,0.0012892210665691,0.00158273659016773,0.0010510783659774,0.000434640877974573,0.000853306562931359,0,0.000501680630110871,0.00149878084244905,0.000641871411760511,0,0.00092954080684142,0,0,0.000413098993540634,0.000530684158016515,0.000437320971727199,0.000379007001655662,0.000270374662031672,0.00852224827945617,0.0102094332366001,0.00689127105666156,0.0132953932198401,0.0285920183861481,0.017838574762576,0.00702392412735765,0.0027473754746482,0.0032519375316431,0.00310390140015406,0.00445284752531232,0.00901647839154317,0.0083486934836821,0.00443855377122954,0.00800818614583797,0.0112759019669717,0.0195045992326586,0.0255017938524193,0.00469726149654751,0.00417652791312822,0.000527148128624143,0.00265569917743831,0.00223422443270127,0.00252745999771959,0.00163431443593025
Anaerolineae Class,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.08521819982617e-05,0.00168423340215147,0.000978792822185971,0.00129898932294142,0.00175588220538805,0,0,0,0,0.000317399860344061,0.00455927051671732,0.0030419107706174,0.00154959774140822,0.00019679443727724,0.0012766551634717,0.000308999613750483,0.000475161324933707,0.00052445718681165,0.000199746987149611,0.000466074670068194,0,0,0.000285235497557671,0.000402054947509493,0,0.000113281072998323,7.06801194494019e-05,0.000172729471102359,0.000623441396508728,0.000832228832105539,0.000489389153356765,0,9.63190085563386e-05,0,0,0,0,0.000540540540540541,0.000388560770904569,0.000247044962183117,0.0002004347893122
