"source","name","observed","chao1","diversity_inverse_simpson","diversity_gini_simpson","diversity_shannon","diversity_fisher","diversity_coverage","evenness_camargo","evenness_pielou","evenness_simpson","evenness_evar","evenness_bulla","dominance_dbp","dominance_dmn","dominance_absolute","dominance_relative","dominance_simpson","dominance_core_abundance","dominance_gini","rarity_log_modulo_skewness","rarity_low_abundance","rarity_rare_abundance","diversity_faith","asv_novelty"
"GcAr3","GcA","GcArep3",616,616,162.841181550835,0.993859047260181,5.70845270345743,98.5452366736222,65,0.82143321901543,0.888717612115155,0.264352567452654,0.441878664373295,0.547484428782755,0.0269231523422946,0.0470027648685217,1373,0.0269231523422946,0.00614095273981923,0.00803968860913387,0.976304075975762,2.05785873265587,0.354883620605134,0.755162068356962,48.5602015979997,0.766233766233766
"GcB","GcB","GcB",957,957,366.28736912838,0.99726990312994,6.41084400503219,179.632907047708,169,0.879076163320057,0.934007523148929,0.382745422286709,0.544425214219652,0.642188489563845,0.0171954797348691,0.0325165706834728,633,0.0171954797348691,0.00273009687006027,0.00654677822449201,0.953225783723553,2.06137265392725,0.600239052482886,0.906280560686733,91.8934610679993,0.827586206896552
"GcB4","GcB","GcB4 (75)",882,882,168.874861144761,0.994078455530792,6.02098099645016,155.746663543443,97,0.783873590895171,0.887763269858681,0.19146809653601,0.462799954645596,0.566738659031561,0.0348075073261302,0.0615394939936917,1556,0.0348075073261302,0.00592154446920782,0.00161063015904973,0.96513379165981,2.06068088574149,0.503791691832763,0.920430396170279,101.059156589,0.837868480725624
"GcB5","GcB","GcB5 (71)",449,449,181.431479443983,0.994488277320647,5.65852788379308,75.9138614940326,80,0.998862548582129,0.926560778927262,0.404079018806199,0.519568517244736,0.641342647897871,0.0306315301501266,0.0520272438754769,859,0.0306315301501266,0.00551172267935317,0,0.978128815693125,2.06053900791875,0.274471347573369,0.917448204543023,64.569590138,0.855233853006682
"GcB6","GcB","GcB6 (67)",331,331,167.955887635006,0.994046055699023,5.42318649961293,55.5193261194472,66,0.997641242709663,0.934690771327204,0.507419600105758,0.496127692025942,0.651037038602721,0.0262264589630319,0.045756800744013,564,0.0262264589630319,0.00595394430097714,0.00902115787026273,0.983206117202158,2.06109315133113,0.170332480818414,0.910997442455243,49.9872399789999,0.821752265861027
"GcB7","GcB","GcB7 (62)",329,329,178.485109349241,0.994397291720043,5.44829038751775,55.1111020145544,68,0.983609850533229,0.93999932743912,0.542507931152707,0.509101752607463,0.668241359804842,0.0191950176612753,0.0351366424986057,413,0.0191950176612753,0.00560270827995688,0.0159416248373304,0.98275805383264,2.0607874342809,0.157650120840305,0.914854062093326,50.6538499919998,0.802431610942249
"GcB8","GcB","GcB8 (58)",215,215,124.082164923865,0.99194082404499,5.02621240134202,35.2136592304327,46,0.990242980665182,0.93586876922597,0.577126348483094,0.434399808560481,0.6632378582688,0.0190439916206437,0.0375801434647369,300,0.0190439916206437,0.00805917595501,0.0190439916206437,0.98876840499954,2.0594361012832,0.052434456928839,0.905097441757126,31.0944967740001,0.767441860465116
"GcB9","GcB","GcB9 (54)",307,307,152.166317164564,0.993428243394243,5.32990622778781,51.2629240439762,59,0.846976439217871,0.930687607337453,0.495655756236365,0.453099227383239,0.652306198159886,0.0254436709481322,0.0454456319246985,519,0.0254436709481322,0.00657175660575741,0.0111285420139229,0.984667809910349,2.0610387272303,0.131336405529954,0.921609961760957,40.7800670469999,0.814332247557003
"GcB10","GcB","GcB10 (50)",495,495,188.706915603702,0.994700777145338,5.68761906123432,86.3123968566525,75,0.757171231619181,0.916684037587175,0.381226092128691,0.480172241636269,0.604318975064451,0.0255745831455611,0.0448024635721797,681,0.0255745831455611,0.00529922285466247,0.00608382154123479,0.977858860765977,2.06082748580496,0.302088027640078,0.947123328826799,58.5798362379998,0.816161616161616
"GcB11","GcB","GcB11 (46)",1226,1226,239.514822561078,0.995824893051264,6.34942299205606,230.181830901771,137,0.857545533999332,0.892837259930652,0.195362824274941,0.466768924276683,0.561059895396737,0.0272983930883695,0.04659406907385,1286,0.0272983930883695,0.0041751069487359,0.00322655968074041,0.952008430017258,2.06126280823187,0.580632150969029,0.946146171644484,118.620831572999,0.830342577487765
"GcB12","GcB","GcB12 (43)",1099,1099,113.626628762643,0.991199246066792,5.89673628797067,202.63292571878,71,0.943660166030359,0.842131527256579,0.103390926990576,0.430330737698956,0.501119151364714,0.0426387947434019,0.0808606476723591,1950,0.0426387947434019,0.00880075393320802,0.00238339929591324,0.964482590791931,2.06124533356486,0.501191699647957,0.905538670106925,114.36332883,0.823475887170155
"GcB13","GcB","GcB13 (39)",1019,1019,31.5705770687974,0.968324937557497,5.22767294637506,181.091163152164,29,0.967766610459986,0.754726746169282,0.0309819205778188,0.426130203336342,0.439353922193401,0.119307414573817,0.221838782390138,5981,0.119307414573817,0.0316750624425027,0.00181524406056133,0.973047754173223,2.06114152234744,0.415152300971455,0.815623067562985,127.400193915999,0.800785083415113
"GcB14","GcB","GcB14 (35)",1117,1117,15.8704564349001,0.936989839951866,4.73029021122584,201.083120133058,9,0.961271103245499,0.673983956269528,0.0142081078199643,0.474629961329296,0.396092736570907,0.170587099266126,0.320625724217845,8833,0.170587099266126,0.0630101600481342,0.00320587099266126,0.97430799929802,2.06134493271099,0.393646195442256,0.780880648899189,118.662520002,0.803043867502238
"GcBr1","GcB","GcBrep1",891,891,119.963886323772,0.991664158017513,6.0731983688295,161.669373269635,124,0.866098640650027,0.89412402943926,0.134639603056984,0.52700745403775,0.602436322773218,0.0691178315974401,0.10367674739616,2754,0.0691178315974401,0.00833584198248701,0.00632450746643243,0.961039925484556,2.06135044590492,0.532915045802485,0.912561174551387,86.6792667149994,0.836139169472503
"GcBr2","GcB","GcBrep2",721,721,112.168589150523,0.991084848195264,5.9035184498029,131.441361342596,105,0.886696193505598,0.897104115062991,0.155573632663694,0.552128567595082,0.612998077918238,0.0706523461014479,0.104204289833032,2230,0.0706523461014479,0.00891515180473619,0.00643158128188068,0.967540840433088,2.06136653302553,0.472135094889586,0.903241136774071,74.3005449509996,0.840499306518724
"GcBr3","GcB","GcBrep3",875,875,115.784286450096,0.99136324944723,6.05457234866877,158.11612639748,124,0.870936551734023,0.893766201152854,0.132324898800109,0.512846953884401,0.604749939758144,0.0717403301058546,0.10565394070135,2860,0.0717403301058546,0.00863675055277048,0.00632117593939698,0.961721257085372,2.0613687335258,0.540736467165003,0.916269502834496,85.4196339429995,0.846857142857143
"GcC","GcC","GcC",729,729,92.6594497474124,0.989207792591841,5.64067894645796,117.551868252924,61,0.934234000239689,0.855727873645696,0.127104869338014,0.37600751955603,0.506651176059923,0.0787991847168964,0.0978857912737071,4562,0.0787991847168964,0.0107922074081594,0.0149410992503541,0.975631359402186,2.05793669382893,0.373026565792656,0.759836943379279,87.5368306199997,0.802469135802469
"GcC5","GcC","GcC5 (70)",540,540,48.4176321817804,0.979346367120028,5.07743026645598,84.1778340747751,32,0.809853086828527,0.807021293707411,0.0896622818181119,0.344462635548429,0.464284892210802,0.104084295814425,0.154821494653604,5344,0.104084295814425,0.0206536328799718,0.0352336248368814,0.984671244306838,2.05894062129993,0.256821767329529,0.753637302066494,82.8880993589999,0.822222222222222
